27/07/2026 19:19:51,Depósito,100.00,200.00
28/07/2026 19:22:00,Depósito,200.00,300.00
28/07/2026 19:22:02,Saque,100.00,200.00
28/07/2026 20:07:43,Depósito,50.00,150.00
28/07/2026 20:07:43,Saque,30.00,120.00
28/07/2026 20:07:59,Depósito,50.00,150.00
28/07/2026 20:07:59,Saque,30.00,120.00
29/07/2026 18:18:22,Depósito,50.00,150.00
29/07/2026 18:18:22,Saque,30.00,120.00
29/07/2026 18:33:46,Depósito,100.00,200.00
29/07/2026 18:33:50,Saque,10.00,190.00
29/07/2026 18:44:41,Depósito,210.00,310.00
29/07/2026 18:44:44,Saque,100.00,210.00
